CRIM,INDUS,CHAS,NOX,RM,AGE,TAX,PTRATIO,MEDV
15.5757,18.1,0,0.58,5,71.0,666,20.2,19.1
13.0751,18.1,0,0.58,5,56.7,666,20.2,20.1
4.34879,18.1,0,0.58,6,84.0,666,20.2,19.9
4.03841,18.1,0,0.532,6,90.7,666,20.2,19.6
3.56868,18.1,0,0.58,6,75.0,666,20.2,23.2
4.64689,18.1,0,0.614,6,67.6,666,20.2,29.8
8.05579,18.1,0,0.584,5,95.4,666,20.2,13.8
6.39312,18.1,0,0.584,6,97.4,666,20.2,13.3
4.87141,18.1,0,0.614,6,93.6,666,20.2,16.7
15.0234,18.1,0,0.614,5,97.3,666,20.2,12.0
10.233,18.1,0,0.614,6,96.7,666,20.2,14.6
14.3337,18.1,0,0.614,6,88.0,666,20.2,21.4
5.82401,18.1,0,0.532,6,64.7,666,20.2,23.0
5.70818,18.1,0,0.532,6,74.9,666,20.2,23.7
5.73116,18.1,0,0.532,7,77.0,666,20.2,25.0
2.81838,18.1,0,0.532,5,40.3,666,20.2,21.8
2.37857,18.1,0,0.583,5,41.9,666,20.2,20.6
3.67367,18.1,0,0.583,6,51.9,666,20.2,21.2
5.69175,18.1,0,0.583,6,79.8,666,20.2,19.1
4.83567,18.1,0,0.583,5,53.2,666,20.2,20.6
0.15086,27.74,0,0.609,5,92.7,711,20.1,15.2
0.18337,27.74,0,0.609,5,98.3,711,20.1,7.0
0.20746,27.74,0,0.609,5,98.0,711,20.1,8.1
0.10574,27.74,0,0.609,5,98.8,711,20.1,13.6
0.11132,27.74,0,0.609,5,83.5,711,20.1,20.1
0.17331,9.69,0,0.585,5,54.0,391,19.2,21.8
0.27957,9.69,0,0.585,5,42.6,391,19.2,24.5
0.17899,9.69,0,0.585,5,28.8,391,19.2,23.1
0.2896,9.69,0,0.585,5,72.9,391,19.2,19.7
0.26838,9.69,0,0.585,5,70.6,391,19.2,18.3
0.23912,9.69,0,0.585,6,65.3,391,19.2,21.2
0.17783,9.69,0,0.585,5,73.5,391,19.2,17.5
0.22438,9.69,0,0.585,6,79.7,391,19.2,16.8
0.06263,11.93,0,0.573,6,69.1,273,21.0,22.4
0.04527,11.93,0,0.573,6,76.7,273,21.0,20.6
0.06076,11.93,0,0.573,6,91.0,273,21.0,23.9
0.10959,11.93,0,0.573,6,89.3,273,21.0,22.0
0.04741,11.93,0,0.573,6,80.8,273,21.0,19.0
